subsidiaryId,areasId,breedId,productId,operatorId,pickUpDate,quantityProduced,processStatus,totalWeight
1,1,10,29,1,'2019-01-30',519,1,833.28
1,2,2,6,2,'2019-01-30',513,3,1117.53
1,3,4,15,3,'2019-01-30',403,1,630.3
1,4,5,18,4,'2019-01-30',505,2,1076.96
1,5,5,17,5,'2019-01-30',431,2,573.02
1,6,3,8,6,'2019-01-30',336,3,770.61
1,7,4,13,7,'2019-01-30',490,2,995.55
1,8,4,15,8,'2019-01-30',468,2,599.01
1,9,4,15,9,'2019-01-30',450,1,1003.75
1,10,6,21,10,'2019-01-30',629,1,823.46
1,11,4,11,11,'2019-01-30',583,1,1448.15
1,12,6,20,12,'2019-01-30',374,3,473.53
2,13,8,26,13,'2019-01-30',348,2,422.69
2,14,5,16,14,'2019-01-30',272,1,610.63
2,15,4,13,15,'2019-01-30',280,3,564.88
2,16,6,21,16,'2019-01-30',305,1,620.26
2,17,9,27,17,'2019-01-30',338,1,724.59
2,18,9,28,18,'2019-01-30',324,1,688.6
2,19,8,25,19,'2019-01-30',346,2,834.37
2,20,10,29,20,'2019-01-30',247,2,392.84
2,21,6,21,21,'2019-01-30',286,1,590.13
2,22,4,11,22,'2019-01-30',446,1,1005.21
2,23,5,18,23,'2019-01-30',241,1,351.71
2,24,1,3,24,'2019-01-30',285,1,606.99
2,25,2,4,25,'2019-01-30',267,3,344.92
2,26,6,20,26,'2019-01-30',252,2,488.87
3,27,7,23,27,'2019-01-30',364,1,758.45
3,28,3,7,28,'2019-01-30',234,2,421.17
3,29,1,1,29,'2019-01-30',357,2,652.45
3,30,8,26,30,'2019-01-30',393,1,738.13
3,31,7,24,31,'2019-01-30',271,1,615.97
3,32,8,25,32,'2019-01-30',243,1,441.06
3,33,7,24,33,'2019-01-30',248,1,505.3
3,34,10,30,34,'2019-01-30',270,1,651.49
3,35,8,25,35,'2019-01-30',296,2,732.89
3,36,5,18,36,'2019-01-30',289,3,355.04
3,37,5,18,37,'2019-01-30',370,3,627.36
4,38,10,29,38,'2019-01-30',280,3,425.89
4,39,8,26,39,'2019-01-30',341,2,583.78
4,40,1,1,40,'2019-01-30',215,2,298.17
4,41,10,30,41,'2019-01-30',347,2,427.26
4,42,2,5,42,'2019-01-30',433,3,834.67
4,43,6,20,43,'2019-01-30',268,3,391.98
4,44,3,9,44,'2019-01-30',341,1,765.07
4,45,5,17,45,'2019-01-30',255,3,588.44
4,46,7,24,46,'2019-01-30',264,2,590.51
4,47,5,17,47,'2019-01-30',286,1,570.43
4,48,6,21,48,'2019-01-30',389,3,869.13
4,49,7,22,49,'2019-01-30',265,2,352.21
4,50,7,22,50,'2019-01-30',406,3,641.03
5,51,4,11,51,'2019-01-30',267,3,533.04
5,52,1,1,52,'2019-01-30',350,1,780.24
5,53,6,20,53,'2019-01-30',203,2,360.76
5,54,8,25,54,'2019-01-30',304,1,637.05
5,55,3,9,55,'2019-01-30',407,3,828.92
5,56,1,3,56,'2019-01-30',282,2,695.8
5,57,2,6,57,'2019-01-30',278,2,682.16
5,58,5,18,58,'2019-01-30',223,3,522.34
5,59,3,7,59,'2019-01-30',307,1,726.23
5,60,5,17,60,'2019-01-30',271,2,343.11
6,61,2,6,61,'2019-01-30',265,2,586.55
6,62,1,2,62,'2019-01-30',214,1,335.88
6,63,1,2,63,'2019-01-30',347,2,654.06
6,64,10,30,64,'2019-01-30',368,3,871.57
6,65,6,21,65,'2019-01-30',226,2,301.11
6,66,2,4,66,'2019-01-30',298,3,449.26
6,67,1,1,67,'2019-01-30',366,1,870.28
6,68,9,27,68,'2019-01-30',278,2,669.94
6,69,6,21,69,'2019-01-30',318,2,752.67
6,70,5,18,70,'2019-01-30',281,1,640.93
6,71,3,8,71,'2019-01-30',329,2,672.05
6,72,8,25,72,'2019-01-30',250,1,594.36
7,73,2,6,73,'2019-01-30',336,2,468.37
7,74,1,3,74,'2019-01-30',314,2,532.43
7,75,6,21,75,'2019-01-30',292,1,532.95
7,76,5,16,76,'2019-01-30',287,1,425.65
7,77,1,2,77,'2019-01-30',270,1,361.46
7,78,7,23,78,'2019-01-30',314,3,581.77
7,79,4,10,79,'2019-01-30',315,1,592.18
7,80,5,16,80,'2019-01-30',234,1,572.17
7,81,2,6,81,'2019-01-30',276,2,596.06
7,82,5,17,82,'2019-01-30',323,1,454.64
7,83,5,16,83,'2019-01-30',414,1,924.32
7,84,10,30,84,'2019-01-30',270,2,325.83
7,85,3,8,85,'2019-01-30',427,1,811.76
7,86,10,30,86,'2019-01-30',248,2,555.86
7,87,10,29,87,'2019-01-30',259,1,559.53
8,88,2,4,88,'2019-01-30',335,2,617.99
8,89,2,6,89,'2019-01-30',295,1,414.93
8,90,10,30,90,'2019-01-30',291,3,354.9
8,91,7,22,91,'2019-01-30',213,3,371.76
8,92,10,29,92,'2019-01-30',435,2,1022.39
8,93,4,10,93,'2019-01-30',308,3,409.1
8,94,6,19,94,'2019-01-30',253,1,552.31
8,95,1,3,95,'2019-01-30',269,1,332.36
8,96,2,4,96,'2019-01-30',320,2,765.31
8,97,3,9,97,'2019-01-30',335,2,614.66
1,1,8,25,1,'2019-02-28',596,1,1434.73
1,2,3,7,2,'2019-02-28',486,3,959.03
1,3,7,23,3,'2019-02-28',435,1,626.09
1,4,4,10,4,'2019-02-28',494,3,1212.68
1,5,9,27,5,'2019-02-28',395,1,919.99
1,6,7,24,6,'2019-02-28',426,3,901.78
1,7,10,29,7,'2019-02-28',513,1,895.58
1,8,7,22,8,'2019-02-28',531,2,794.72
1,9,5,16,9,'2019-02-28',412,1,970.87
1,10,2,4,10,'2019-02-28',560,3,1166.52
1,11,7,22,11,'2019-02-28',681,1,968.47
1,12,4,12,12,'2019-02-28',384,3,473.22
2,13,8,26,13,'2019-02-28',381,2,635.93
2,14,10,29,14,'2019-02-28',284,1,705.64
2,15,3,7,15,'2019-02-28',299,2,397.5
2,16,10,29,16,'2019-02-28',303,3,398.89
2,17,6,21,17,'2019-02-28',329,3,510.57
2,18,4,11,18,'2019-02-28',288,3,405.93
2,19,7,23,19,'2019-02-28',290,2,465.12
2,20,2,5,20,'2019-02-28',223,1,556.91
2,21,9,28,21,'2019-02-28',316,3,718.09
2,22,4,10,22,'2019-02-28',383,3,701.44
2,23,2,6,23,'2019-02-28',217,3,524.81
2,24,3,9,24,'2019-02-28',346,2,475.25
2,25,10,29,25,'2019-02-28',220,1,521.35
2,26,6,20,26,'2019-02-28',329,3,479.09
3,27,2,4,27,'2019-02-28',341,3,701.09
3,28,1,2,28,'2019-02-28',276,3,488.11
3,29,4,11,29,'2019-02-28',344,3,418.43
3,30,1,1,30,'2019-02-28',459,1,1047.23
3,31,1,2,31,'2019-02-28',299,3,634.51
3,32,9,27,32,'2019-02-28',221,3,286.89
3,33,10,30,33,'2019-02-28',306,2,700.81
3,34,5,18,34,'2019-02-28',313,1,486.2
3,35,1,1,35,'2019-02-28',309,3,589.98
3,36,10,30,36,'2019-02-28',330,1,477.98
3,37,1,3,37,'2019-02-28',400,2,491.16
4,38,2,6,38,'2019-02-28',266,1,449.32
4,39,8,25,39,'2019-02-28',302,3,746.44
4,40,1,1,40,'2019-02-28',217,3,478.51
4,41,1,2,41,'2019-02-28',350,3,554.07
4,42,2,6,42,'2019-02-28',463,2,968.98
4,43,3,8,43,'2019-02-28',240,2,313.31
4,44,2,6,44,'2019-02-28',308,1,598.09
4,45,9,28,45,'2019-02-28',217,3,524.34
4,46,1,2,46,'2019-02-28',260,2,648.02
4,47,5,17,47,'2019-02-28',248,1,488.75
4,48,1,2,48,'2019-02-28',382,2,789.92
4,49,1,1,49,'2019-02-28',302,3,740.32
4,50,7,23,50,'2019-02-28',411,3,568.84
5,51,5,18,51,'2019-02-28',261,3,485.59
5,52,7,24,52,'2019-02-28',286,1,656.11
5,53,6,20,53,'2019-02-28',270,3,385.68
5,54,1,1,54,'2019-02-28',336,2,542.14
5,55,8,26,55,'2019-02-28',348,3,493.36
5,56,1,1,56,'2019-02-28',313,1,423.49
5,57,2,6,57,'2019-02-28',347,2,856.01
5,58,3,7,58,'2019-02-28',206,3,401.07
5,59,8,25,59,'2019-02-28',317,2,686.63
5,60,4,10,60,'2019-02-28',252,1,475.63
6,61,6,19,61,'2019-02-28',292,3,366.96
6,62,4,12,62,'2019-02-28',266,2,434.5
6,63,5,16,63,'2019-02-28',328,2,725.57
6,64,5,16,64,'2019-02-28',351,2,728.88
6,65,6,20,65,'2019-02-28',288,3,563.24
6,66,7,24,66,'2019-02-28',258,1,489.7
6,67,7,22,67,'2019-02-28',411,3,534.34
6,68,9,27,68,'2019-02-28',244,1,448.28
6,69,8,25,69,'2019-02-28',310,3,422.06
6,70,10,30,70,'2019-02-28',274,1,380.11
6,71,1,2,71,'2019-02-28',359,3,773.43
6,72,10,29,72,'2019-02-28',260,2,404.38
7,73,8,26,73,'2019-02-28',427,2,745.0
7,74,5,18,74,'2019-02-28',334,2,682.12
7,75,8,26,75,'2019-02-28',329,2,660.37
7,76,6,19,76,'2019-02-28',232,3,573.77
7,77,7,24,77,'2019-02-28',272,1,399.1
7,78,10,29,78,'2019-02-28',312,2,702.87
7,79,3,9,79,'2019-02-28',316,2,415.16
7,80,10,30,80,'2019-02-28',226,2,272.18
7,81,10,30,81,'2019-02-28',364,3,832.45
7,82,4,11,82,'2019-02-28',328,3,707.34
7,83,9,27,83,'2019-02-28',380,1,460.41
7,84,3,7,84,'2019-02-28',225,3,331.01
7,85,10,30,85,'2019-02-28',376,2,464.42
7,86,4,15,86,'2019-02-28',294,1,685.35
7,87,7,24,87,'2019-02-28',250,2,345.21
8,88,1,2,88,'2019-02-28',303,2,564.1
8,89,7,24,89,'2019-02-28',285,2,503.15
8,90,5,18,90,'2019-02-28',271,1,426.62
8,91,9,28,91,'2019-02-28',266,3,483.49
8,92,9,28,92,'2019-02-28',450,3,580.91
8,93,3,7,93,'2019-02-28',353,2,590.29
8,94,10,29,94,'2019-02-28',295,3,586.18
8,95,9,27,95,'2019-02-28',236,3,299.07
8,96,1,1,96,'2019-02-28',293,3,485.79
8,97,6,21,97,'2019-02-28',402,3,556.58
1,1,2,5,1,'2019-03-30',462,1,1060.57
1,2,10,30,2,'2019-03-30',640,3,1147.12
1,3,10,29,3,'2019-03-30',412,2,999.47
1,4,9,28,4,'2019-03-30',585,2,1057.3
1,5,8,26,5,'2019-03-30',381,2,860.45
1,6,1,1,6,'2019-03-30',342,1,775.19
1,7,8,26,7,'2019-03-30',443,2,632.59
1,8,7,24,8,'2019-03-30',425,2,877.63
1,9,6,20,9,'2019-03-30',462,2,935.49
1,10,6,19,10,'2019-03-30',644,2,1242.91
1,11,6,19,11,'2019-03-30',531,1,1158.49
1,12,3,8,12,'2019-03-30',437,2,1052.34
2,13,9,28,13,'2019-03-30',357,2,821.55
2,14,7,23,14,'2019-03-30',263,3,317.21
2,15,6,21,15,'2019-03-30',305,3,493.11
2,16,8,25,16,'2019-03-30',272,1,565.36
2,17,1,2,17,'2019-03-30',375,2,840.22
2,18,9,28,18,'2019-03-30',339,2,788.56
2,19,10,29,19,'2019-03-30',310,2,685.42
2,20,2,4,20,'2019-03-30',224,1,272.56
2,21,7,23,21,'2019-03-30',342,1,770.74
2,22,8,25,22,'2019-03-30',338,2,541.02
2,23,1,3,23,'2019-03-30',231,2,388.86
2,24,1,1,24,'2019-03-30',289,2,571.99
2,25,9,28,25,'2019-03-30',225,1,270.04
2,26,4,14,26,'2019-03-30',297,2,695.58
3,27,8,26,27,'2019-03-30',350,3,541.47
3,28,9,28,28,'2019-03-30',227,3,289.2
3,29,8,25,29,'2019-03-30',321,3,435.11
3,30,8,25,30,'2019-03-30',416,2,1033.27
3,31,9,28,31,'2019-03-30',260,1,613.48
3,32,6,21,32,'2019-03-30',238,2,509.96
3,33,7,22,33,'2019-03-30',312,1,709.96
3,34,4,13,34,'2019-03-30',286,1,602.23
3,35,4,14,35,'2019-03-30',354,1,439.42
3,36,2,6,36,'2019-03-30',361,1,862.93
3,37,6,21,37,'2019-03-30',417,3,862.83
4,38,8,25,38,'2019-03-30',228,3,279.6
4,39,7,24,39,'2019-03-30',315,1,706.49
4,40,5,16,40,'2019-03-30',258,3,391.56
